month,h0,h1,h2,h3,h4,h5,h6
1,0.1925,0.9991,0.0171,0.8804,0.7768,0.223,0.9671
2,0.0103,0.9999,0.0003,0.4649,0.4772,0.1797,0.8037
3,0.0035,0.9998,0.0,0.3074,0.2861,0.2046,0.292
4,0.0339,0.999,0.0009,0.6018,0.8104,0.0068,0.0013
5,0.1262,0.6746,0.1973,0.879,0.7366,0.1616,0.0322
6,0.1986,0.0847,0.5608,0.9511,0.1029,0.3393,0.1052
7,0.7284,0.0084,0.7561,0.5248,0.2661,0.2641,0.0134
8,0.7213,0.2243,0.8317,0.3547,0.3365,0.364,0.0
9,0.775,0.2021,0.9778,0.3641,0.1755,0.6634,0.0
10,0.9411,0.4257,0.6389,0.7814,0.3989,0.3931,0.0803
11,0.5975,0.9429,0.0637,0.9898,0.4261,0.2913,0.5949
12,0.4066,0.9984,0.0228,0.9995,0.6462,0.2191,0.9533
